ID,Sample.Plate,Species,Region,Site,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
urban_080,Sample 8_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 8,UrbanPopgen_Plate06_6-30-23_data.csv,1,0.010334882421618072,0.9859706913101897,0,0.003694426268192284,B,B,AD
urban_081,Sample 9_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 9,UrbanPopgen_Plate06_6-30-23_data.csv,1,0.29827283114426756,0,4.4194027939794925e-5,0.7016829748277926,D,DA,C
urban_082,Sample 10_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 10,UrbanPopgen_Plate06_6-30-23_data.csv,1,0.13872631004613237,0,1.5431571963845826e-4,0.8611193742342291,D,DA,C
urban_084,Sample 11_UrbanPopgen_Plate06_6-30-23_data.csv,Ofav,Miami offshore,Emerald Reef,22-Oct,Fall,Wet,Sample 11,UrbanPopgen_Plate06_6-30-23_data.csv,1.0000000000000002,0.027879184299744134,0,1.7412894350001418e-5,0.972103402805906,D,D,AC
nmfs_005,Sample 1_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,21-Jan,Winter,Dry,Sample 1,UrbanPopgen_Plate08_7-3-23_data.csv,1,0.0012193758519995737,0.9691216599018636,0,0.029658964246136732,B,B,AD
nmfs_046,Sample 2_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,21-Feb,Winter,Dry,Sample 2,UrbanPopgen_Plate08_7-3-23_data.csv,1,7.546048522136923e-4,0.9985199993497011,4.7131038228309515e-5,6.78264759856891e-4,B,B,ACD
nmfs_048,Sample 3_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,21-Feb,Winter,Dry,Sample 3,UrbanPopgen_Plate08_7-3-23_data.csv,0.9999999999999999,0.005303309679034657,0.001687953611669266,0,0.993008736709296,D,D,AB
nmfs_051,Sample 4_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,21-Feb,Winter,Dry,Sample 4,UrbanPopgen_Plate08_7-3-23_data.csv,1,0.003223822565579753,0.9967761774344203,0,0,B,B,A
nmfs_052,Sample 5_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,21-Feb,Winter,Dry,Sample 5,UrbanPopgen_Plate08_7-3-23_data.csv,1,2.6577936328590554e-4,0.5673119372496739,2.915661950849639e-5,0.4323931267675317,B,BD,AC
nmfs_053,Sample 6_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,21-Feb,Winter,Dry,Sample 6,UrbanPopgen_Plate08_7-3-23_data.csv,1,0,0.005637310033638551,1.7997653860863806e-5,0.9943446923125007,D,D,BC
urban_091,Sample 7_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 7,UrbanPopgen_Plate08_7-3-23_data.csv,1,0.009250024305357945,0.9855381939367429,9.727344459287833e-5,0.005114508313306282,B,B,ACD
urban_093,Sample 8_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 8,UrbanPopgen_Plate08_7-3-23_data.csv,1,0.0968008749572554,0,0,0.9031991250427446,D,D,A
urban_094,Sample 9_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 9,UrbanPopgen_Plate08_7-3-23_data.csv,0.9999999999999999,0.2222699111406629,0.651651355324134,0.020052996009718212,0.10602573752548484,B,BAD,C
urban_095,Sample 10_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 10,UrbanPopgen_Plate08_7-3-23_data.csv,1,0.030806429290583692,0.37732719525288355,0,0.5918663754565328,D,DB,A
urban_096,Sample 11_UrbanPopgen_Plate08_7-3-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 11,UrbanPopgen_Plate08_7-3-23_data.csv,0.9999999999999999,0.4888062475299592,0.4993008338734327,0.01189291859660803,0,"",AB,C
urban_097,Sample 1_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 1,UrbanPopgen_Plate09_7-5-23_data.csv,1,0,0.9458550672800953,0.05414493271990479,0,B,B,C
urban_099,Sample 2_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 2,UrbanPopgen_Plate09_7-5-23_data.csv,0.9999999999999999,0.1412325993975443,0,0,0.8587674006024556,D,DA,""
urban_100,Sample 3_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 3,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.12010705657375356,0.8798929434262465,0,0,B,BA,""
urban_101,Sample 4_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 4,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.007895618366077186,0.619709369405748,0,0.37239501222817495,B,BD,A
urban_102,Sample 5_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 5,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.00991030943435883,0.9895659783323959,0,5.237122332454008e-4,B,B,AD
urban_105,Sample 6_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 6,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.9541504135775078,0,7.494676398998169e-4,0.045100118782592354,A,A,CD
urban_106,Sample 7_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami offshore,Rainbow Reef,22-Oct,Fall,Wet,Sample 7,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.1297617620922646,0.810106634219006,1.3038557704200856e-5,0.06011856513102516,B,BA,CD
nmfs_031,Sample 8_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Jan,Winter,Dry,Sample 8,UrbanPopgen_Plate09_7-5-23_data.csv,1,7.814817911140887e-4,0,0,0.999218518208886,D,D,A
nmfs_032,Sample 9_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Jan,Winter,Dry,Sample 9,UrbanPopgen_Plate09_7-5-23_data.csv,0.9999999999999999,0.001523952623402463,0,0,0.9984760473765975,D,D,A
nmfs_033,Sample 10_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Jan,Winter,Dry,Sample 10,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.003899065966791695,2.2855402953306502e-4,0,0.9958723800036753,D,D,AB
nmfs_034,Sample 11_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Jan,Winter,Dry,Sample 11,UrbanPopgen_Plate09_7-5-23_data.csv,1,3.822765649419457e-4,0.001076193778407813,0,0.9985415296566503,D,D,AB
nmfs_035,Sample 12_UrbanPopgen_Plate09_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Jan,Winter,Dry,Sample 12,UrbanPopgen_Plate09_7-5-23_data.csv,1,0,6.586496354291089e-4,0,0.999341350364571,D,D,B
nmfs_066,Sample 1_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Feb,Winter,Dry,Sample 1,UrbanPopgen_Plate10_7-5-23_data.csv,1,6.235173101863894e-4,0,0,0.9993764826898136,D,D,A
nmfs_067,Sample 2_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Feb,Winter,Dry,Sample 2,UrbanPopgen_Plate10_7-5-23_data.csv,1.0000000000000002,7.987217257840044e-4,0,0,0.9992012782742161,D,D,A
nmfs_068,Sample 3_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Feb,Winter,Dry,Sample 3,UrbanPopgen_Plate10_7-5-23_data.csv,2,4.2806496840932596e-4,1,0,0.9995719350315907,B,BD,A
nmfs_069,Sample 4_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Feb,Winter,Dry,Sample 4,UrbanPopgen_Plate10_7-5-23_data.csv,1,0.00883366951671827,0,0,0.9911663304832817,D,D,A
nmfs_070,Sample 5_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Feb,Winter,Dry,Sample 5,UrbanPopgen_Plate10_7-5-23_data.csv,0.9999999999999999,0.0010793969360938715,0,0,0.9989206030639061,D,D,A
nmfs_075,Sample 6_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,MacArthur North,21-Feb,Winter,Dry,Sample 6,UrbanPopgen_Plate10_7-5-23_data.csv,1,0.017203895386143225,0,0,0.9827961046138568,D,D,A
nmfs_056,Sample 7_UrbanPopgen_Plate10_7-5-23_data.csv,Ofav,Miami urban,Star Island,21-Feb,Winter,Dry,Sample 7,UrbanPopgen_Plate10_7-5-23_data.csv,1,2.339477687225089e-4,0,0,0.9997660522312776,D,D,A
