,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,Depth,propA,propB,propC,propD,dom,background,totalSym,failed
92,reps,Sample 3,UrbanPopgen_Plate25_7-11-23_data.csv,28.72509003,32.86036682,NA,21.80374909,0.084080604,NA,NA,0.184145985,2,1,0,2,0,0,0.002750094,0,0,0,0,0,0,363.6239564,0,0,Sample 3_UrbanPopgen_Plate25_7-11-23_data.csv,UR11 rex,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0.002742552,0,0,0.997257448,D,A,1,n
93,reps,Sample 4,UrbanPopgen_Plate25_7-11-23_data.csv,29.54986572,31.24493599,NA,22.98421097,0.437353464,NA,NA,0.214796526,2,1,0,2,0,0,0.003519004,0,0,0,0,0,0,284.1713403,0,0,Sample 4_UrbanPopgen_Plate25_7-11-23_data.csv,UR12 cc5,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0.003506664,0,0,0.996493336,D,A,1,n
95,reps,Sample 6,UrbanPopgen_Plate25_7-11-23_data.csv,28.91536618,NA,NA,22.11680031,0.479849627,NA,NA,0.185470411,2,0,0,2,0,0,0.002994377,0,0,0,0,0,0,333.9592746,0,0,Sample 6_UrbanPopgen_Plate25_7-11-23_data.csv,UR14 rex2,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0.002985438,0,0,0.997014562,D,A,1,n
96,reps,Sample 7,UrbanPopgen_Plate25_7-11-23_data.csv,25.31330776,NA,31.84087372,22.59294892,0.138375183,NA,NA,0.131713961,2,0,1,2,0,0,0.050578871,0,0,0,0,0,0,19.77110152,0,0,Sample 7_UrbanPopgen_Plate25_7-11-23_data.csv,UR15 rex,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0.048143812,0,0,0.951856188,D,A,1,n
97,reps,Sample 8,UrbanPopgen_Plate25_7-11-23_data.csv,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate25_7-11-23_data.csv,UR16 rex2,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0,0,0,0,,,0,y
101,reps,Sample 11,UrbanPopgen_Plate26_7-11-23_data.csv,21.2149477,32.97653961,NA,21.75551319,0.521071272,NA,NA,0.032683027,2,1,0,2,0,0,0.484847513,0,0,0,0,0,0,2.062504134,0,0,Sample 11_UrbanPopgen_Plate26_7-11-23_data.csv,urban_123,Pseu,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.9,0.326530172,0,0,0.673469828,D,,1,n
103,reps,Sample 3,UrbanPopgen_Plate26_7-11-23_data.csv,31.85933114,NA,NA,23.14469624,0.635968296,NA,NA,0.202867281,2,0,0,2,0,0,0.000793437,0,0,0,0,0,0,1260.340115,0,0,Sample 3_UrbanPopgen_Plate26_7-11-23_data.csv,UR4 rex,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.6,0.000793,0,0,0.999207192,D,A,1,n
104,reps,Sample 4,UrbanPopgen_Plate26_7-11-23_data.csv,NA,38.86065292,32.71930695,21.95161438,NA,NA,NA,0.250599096,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 4_UrbanPopgen_Plate26_7-11-23_data.csv,UR5 cc5,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0,0,0,1,D,,1,n
105,reps,Sample 5,UrbanPopgen_Plate26_7-11-23_data.csv,32.93011093,39.92498016,NA,20.61397266,1.928909531,NA,NA,0.106462266,2,1,0,2,0,0,6.54E-05,0,0,0,0,0,0,15298.48076,0,0,Sample 5_UrbanPopgen_Plate26_7-11-23_data.csv,UR6 rex,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.3,0,0,0,1,D,,1,n
107,reps,Sample 7,UrbanPopgen_Plate26_7-11-23_data.csv,27.5403204,NA,NA,20.84954357,0.251528347,NA,NA,0.120426691,2,0,0,2,0,0,0.003226668,0,0,0,0,0,0,309.9172679,0,0,Sample 7_UrbanPopgen_Plate26_7-11-23_data.csv,UR8 rex,Pseu,Miami urban,MacArthur North,22-Jun,Summer,Wet,0.6,0.00321629,0,0,0.99678371,D,A,1,n
