Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate53_1-23-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-23 16:06:42 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
G5,Sample 5,D,UNKNOWN,SYBR,None,33.48754883,32.90261459,0.82722193,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,30.87716675,30.554245,0.4566816688,,,,FALSE,0.1,TRUE,3,28,,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,34.13433456,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G10,Sample 10,D,UNKNOWN,SYBR,None,35.52946854,34.3186264,1.71238935,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,22.96713638,22.79821014,0.2388991266,,,,FALSE,0.1,TRUE,3,19,,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,36.50230408,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
H1,Sample 1,D,UNKNOWN,SYBR,None,35.84623337,35.13742828,1.002404451,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
H3,Sample 3,D,UNKNOWN,SYBR,None,34.15263748,34.15263748,,,,,FALSE,0.1,TRUE,3,31,,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,38.95999908,38.95999908,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,32.31768036,32.90261459,0.82722193,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,30.23132133,30.554245,0.4566816688,,,,FALSE,0.1,TRUE,3,27,,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
H8,Sample 8,D,UNKNOWN,SYBR,None,34.13433456,34.13433456,,,,,FALSE,0.1,TRUE,3,31,,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
H10,Sample 10,D,UNKNOWN,SYBR,None,33.10778427,34.3186264,1.71238935,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,22.629282,22.79821014,0.2388991266,,,,FALSE,0.1,TRUE,3,18,,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,36.50230408,36.50230408,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
