Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate40_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 19:16:13 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL,MTP
E5,Sample 5,C,UNKNOWN,SYBR,None,22.377882,22.18242645,0.276415884,,,,FALSE,0.1,TRUE,3,19,81.06019592,,,,N,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,23.2797451,23.07476425,0.289886713,,,,FALSE,0.1,TRUE,3,20,80.61211395,,,,N,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,21.97028923,22.12280083,0.215683967,,,,FALSE,0.1,TRUE,3,17,81.0610733,,,,N,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,23.33555603,23.26702499,0.096918873,,,,FALSE,0.1,TRUE,3,20,81.0610733,,,,N,N,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,21.93310547,21.93692589,0.005402889,,,,FALSE,0.1,TRUE,3,18,81.06174469,,,,N,N,N,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,21.66898537,21.6440258,0.035298154,,,,FALSE,0.1,TRUE,3,18,81.06174469,,,,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,20.40244675,20.53904724,0.193183616,,,,FALSE,0.1,TRUE,3,16,81.0594101,,,,N,N,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,22.08893204,22.0260849,0.088880621,,,,FALSE,0.1,TRUE,3,18,81.0594101,,,,N,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,21.9744854,21.77224159,0.286015928,,,,FALSE,0.1,TRUE,3,19,81.20980835,,,,N,N,N,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,21.90154648,23.14145279,1.753492355,,,,FALSE,0.1,TRUE,3,18,80.91112518,,,,Y,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,19.75714684,20.02322769,0.37629649,,,,FALSE,0.1,TRUE,3,16,81.36101532,,,,N,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,20.16262627,20.19535637,0.046287354,,,,FALSE,0.1,TRUE,3,17,81.21165466,,,,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,21.9869709,22.18242645,0.276415884,,,,FALSE,0.1,TRUE,3,19,81.06019592,,,,N,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,22.8697834,23.07476425,0.289886713,,,,FALSE,0.1,TRUE,3,20,80.76147461,,,,N,N,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,22.27531242,22.12280083,0.215683967,,,,FALSE,0.1,TRUE,3,18,81.0610733,,,,N,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,23.19849205,23.26702499,0.096918873,,,,FALSE,0.1,TRUE,3,20,81.0610733,,,,N,N,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,21.94074631,21.93692589,0.005402889,,,,FALSE,0.1,TRUE,3,18,81.06174469,,,,N,N,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,21.61906624,21.6440258,0.035298154,,,,FALSE,0.1,TRUE,3,17,81.06174469,,,,N,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,20.67564964,20.53904724,0.193183616,,,,FALSE,0.1,TRUE,3,17,81.0594101,,,,N,N,N,N,N
F12,Sample 12,C,UNKNOWN,SYBR,None,21.96323586,22.0260849,0.088880621,,,,FALSE,0.1,TRUE,3,18,81.0594101,,,,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49671555,,,,N,N,N,Y,N
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34737396,,,,N,N,N,Y,N
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,34.80245209,,,,,FALSE,0.1,TRUE,3,39,67.47044373,61.49600983,,,N,N,N,Y,Y
G4,Sample 4,D,UNKNOWN,SYBR,None,34.92537689,34.92537689,,,,,FALSE,0.1,TRUE,3,32,80.01676941,,,,N,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,34.26662445,,,,,FALSE,0.1,TRUE,3,39,66.87090302,61.34455109,,,N,N,N,Y,Y
G6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34455109,,,,N,N,N,Y,N
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,34.54851913,,,,,FALSE,0.1,TRUE,3,39,61.49703979,,,,N,N,N,Y,N
G8,Sample 8,D,UNKNOWN,SYBR,None,31.45784569,29.51645279,2.745545626,,,,FALSE,0.1,TRUE,3,27,80.01566315,,,,Y,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19782257,,,,N,N,N,Y,N
G10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04846954,72.84733582,,,N,N,N,Y,Y
G11,Sample 11,D,UNKNOWN,SYBR,None,25.59865379,25.66708374,0.096774556,,,,FALSE,0.1,TRUE,3,22,80.01392365,,,,N,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,26.00395012,25.86046028,0.20292528,,,,FALSE,0.1,TRUE,3,21,80.01392365,,,,N,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,N,Y,N
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19803238,,,,N,N,N,Y,N
