Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate44_1-18-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-18 17:48:52 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
G2,Sample 2,D,UNKNOWN,SYBR,None,22.28565407,22.3824234,0.136851162,,,,FALSE,0.1,TRUE,3,19,80.1638031,,,,N,N,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,23.6380291,23.72169113,0.118317328,,,,FALSE,0.1,TRUE,3,20,80.31542969,,,,N,N,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,25.56546211,25.63775635,0.10223949,,,,FALSE,0.1,TRUE,3,21,80.31542969,,,,N,N,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,24.42234039,24.40910339,0.018718595,,,,FALSE,0.1,TRUE,3,21,80.16220093,,,,N,N,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,22.46450424,22.5002327,0.050529014,,,,FALSE,0.1,TRUE,3,19,80.16220093,,,,N,N,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,23.70935631,23.6543045,0.077856354,,,,FALSE,0.1,TRUE,3,19,80.01583862,,,,N,N,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,25.1420269,25.12645721,0.022020211,,,,FALSE,0.1,TRUE,3,21,80.01583862,,,,N,N,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,31.8636055,31.87639618,0.018087404,,,,FALSE,0.1,TRUE,3,28,80.01519775,,,,N,N,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,31.0069828,32.10089493,1.547024012,,,,FALSE,0.1,TRUE,3,27,80.01519775,,,,Y,N,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,74.04222107,,,,N,N,N,N,Y,N
