Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 20:22:23 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
E3,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E3,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,23.46590996,23.46289444,0.004265936,,,,FALSE,0.1,TRUE,3,19,,N,N,N,Y
E4,Sample 8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E5,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,23.45987701,23.46289444,0.004265936,,,,FALSE,0.1,TRUE,3,19,,N,N,N,Y
E7,Sample 9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E8,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,36.27895737,36.27895737,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
E9,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E9,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.53974152,25.58697701,0.066801071,,,,FALSE,0.1,TRUE,3,21,,N,N,N,Y
