Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate42_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 14:36:45 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOISE,SPIKE,EXPFAIL,MTP
F10,Sample 10,C,UNKNOWN,SYBR,None,29.96548843,29.77321243,0.27191934,,,,TRUE,0.039755462,TRUE,3,28,81.05995178,,,,N,N,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,30.50211334,30.76390457,0.370227367,,,,TRUE,0.039755462,TRUE,3,28,81.06162262,,,,N,N,N,N,N,N
F12,,C,NTC,SYBR,None,Undetermined,,,,,,TRUE,0.039755462,TRUE,3,39,61.64799118,,,,N,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,61.34392548,,,,N,N,N,N,Y,N
G2,Sample 2,D,UNKNOWN,SYBR,None,25.30288124,25.1469574,0.22051096,,,,TRUE,0.390520622,TRUE,3,19,80.01371765,,,,N,N,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,36.99420929,36.66608429,0.464036137,,,,TRUE,0.390520622,TRUE,3,31,80.16487885,,,,N,N,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,28.68891144,28.70069885,0.01667127,,,,TRUE,0.390520622,TRUE,3,22,80.16487885,,,,N,N,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,30.60571671,30.21619797,0.55086267,,,,TRUE,0.390520622,TRUE,3,25,80.01603699,,,,N,Y,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,26.78011513,26.73046112,0.070221372,,,,TRUE,0.390520622,TRUE,3,21,80.1653595,,,,N,N,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,33.85969543,33.60147095,0.365184575,,,,TRUE,0.390520622,TRUE,3,28,80.01409912,,,,N,N,N,N,N,N
