Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate33_7-17-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-17 14:59:07 PM PDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34120941,,,,N,N,Y,N
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19184113,66.71845245,,,N,N,Y,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34957886,,,,N,N,Y,N
F12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.62102509,61.34957886,79.41732025,,N,N,Y,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49225998,,,,N,Y,Y,N
G2,Sample 2,D,UNKNOWN,SYBR,None,23.91458321,24.04028702,0.177773386,,,,FALSE,0.1,TRUE,3,17,79.86186218,,,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,26.30474472,26.24204063,0.088676967,,,,FALSE,0.1,TRUE,3,20,80.01354218,,,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,23.58171654,23.5431633,0.054523859,,,,FALSE,0.1,TRUE,3,18,80.01354218,,,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,31.44462013,31.19921875,0.34704861,,,,FALSE,0.1,TRUE,3,25,79.86432648,,,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,36.47458649,,,,,FALSE,0.1,TRUE,3,39,61.34718704,,,,N,N,Y,N
G7,Sample 7,D,UNKNOWN,SYBR,None,36.97248077,36.97248077,,,,,FALSE,0.1,TRUE,3,31,79.7168808,,,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,23.57566261,23.53793335,0.053357236,,,,FALSE,0.1,TRUE,3,17,79.86621094,,,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,25.01387405,24.99502563,0.026657039,,,,FALSE,0.1,TRUE,3,18,79.86281586,,,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,25.59051895,25.55673218,0.047781713,,,,FALSE,0.1,TRUE,3,19,79.86281586,,,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,24.99336624,25.09067726,0.137618572,,,,FALSE,0.1,TRUE,3,19,79.86528015,,,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,23.98701286,24.13314056,0.206657127,,,,FALSE,0.1,TRUE,3,18,79.86528015,,,,Y,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49225998,,,,N,N,Y,N
H2,Sample 2,D,UNKNOWN,SYBR,None,24.16599274,24.04028702,0.177773386,,,,FALSE,0.1,TRUE,3,17,80.01120758,,,,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,26.17933655,26.24204063,0.088676967,,,,FALSE,0.1,TRUE,3,20,80.16288757,,,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,23.50460815,23.5431633,0.054523859,,,,FALSE,0.1,TRUE,3,17,80.01354218,,,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,30.95381927,31.19921875,0.34704861,,,,FALSE,0.1,TRUE,3,24,80.01365662,,,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,36.47458649,36.47458649,,,,,FALSE,0.1,TRUE,3,30,79.86432648,,,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,36.97248077,,,,,FALSE,0.1,TRUE,3,39,61.34992218,,,,N,Y,Y,N
H8,Sample 8,D,UNKNOWN,SYBR,None,23.50020409,23.53793335,0.053357236,,,,FALSE,0.1,TRUE,3,17,79.86621094,,,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,24.97617531,24.99502563,0.026657039,,,,FALSE,0.1,TRUE,3,18,80.01218414,,,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,25.5229454,25.55673218,0.047781713,,,,FALSE,0.1,TRUE,3,19,79.86281586,,,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,25.18798828,25.09067726,0.137618572,,,,FALSE,0.1,TRUE,3,19,79.86528015,,,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,24.27927017,24.13314056,0.206657127,,,,FALSE,0.1,TRUE,3,13,80.01460266,,,,Y,N,N,N
