Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 17:22:23 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
G5,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,37.04097748,37.04097748,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
G6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
G6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,25.85076714,25.8482399,0.003574053,,,,TRUE,0.174224667,TRUE,3,21,,N,N,N,Y
G7,Sample 13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
G8,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,29.63038635,29.62672043,0.005185748,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
G9,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,35.52156067,35.52156067,,,,,TRUE,0.018342163,TRUE,3,34,,N,Y,N,N
G9,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,36.98788071,36.38730621,0.849337876,,,,TRUE,0.174224667,TRUE,3,32,,N,Y,N,N
G10,Sample 13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
G11,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,29.6230526,29.62672043,0.005185748,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
G12,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.52156067,,,,,TRUE,0.018342163,TRUE,3,33,,N,Y,N,N
G12,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,35.78673553,36.38730621,0.849337876,,,,TRUE,0.174224667,TRUE,3,31,,N,Y,N,N
H1,,A,NTC,FAM,NFQ-MGB,27.93549538,,,,,,FALSE,0.01,TRUE,3,27,,Y,N,N,N
H2,,B,NTC,FAM,NFQ-MGB,35.85083389,,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
H3,,C,NTC,VIC,NFQ-MGB,32.35893631,,,,,,TRUE,0.018342163,TRUE,3,30,,Y,N,N,N
H3,,D,NTC,FAM,NFQ-MGB,32.51150131,,,,,,TRUE,0.174224667,TRUE,3,28,,Y,N,N,N
H4,Sample 14,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.84609604,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
H5,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,26.40110588,26.66764069,0.376938492,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,38.23829651,38.23829651,,,,,TRUE,0.018342163,TRUE,3,35,,N,N,N,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,36.94891357,36.94891357,,,,,TRUE,0.174224667,TRUE,3,32,,N,N,N,N
H7,Sample 14,A,UNKNOWN,FAM,NFQ-MGB,37.84609604,37.84609604,,,,,FALSE,0.01,TRUE,3,39,,N,N,N,Y
H8,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,26.9341774,26.66764069,0.376938492,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
H9,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.23829651,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
H9,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.94891357,,,,,TRUE,0.174224667,TRUE,3,39,,N,N,Y,Y
H10,+++,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.76179314,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
H11,+++,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.60838318,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H12,+++,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.04558563,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
H12,+++,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,32.69002914,,,,,TRUE,0.174224667,TRUE,3,39,,N,N,Y,Y
