Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate7_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 16:22:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,BADROX,HIGHSD,EXPFAIL,,,
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G8,Sample 8,D,UNKNOWN,SYBR,None,28.31704712,28.31704712,,,,,TRUE,0.106508737,TRUE,3,22,,N,N,N,N,,,
G9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,19.17591286,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
G12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,22.13618279,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H1,Sample 1,D,UNKNOWN,SYBR,None,26.04395866,26.04395866,,,,,TRUE,0.106508737,TRUE,3,23,,N,N,N,N,,,
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,38,,N,N,N,Y,,,
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,28.31704712,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H9,Sample 9,D,UNKNOWN,SYBR,None,19.17591286,19.17591286,,,,,TRUE,0.106508737,TRUE,3,21,,N,Y,N,N,,,
H10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,39,,N,N,N,Y,,,
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.106508737,TRUE,3,28,,N,N,N,N,,,
H12,Sample 12,D,UNKNOWN,SYBR,None,22.13618279,22.13618279,,,,,FALSE,0.1,TRUE,3,18,80.31340027,,,,N,N,N,N
